c,debt_bc,ec_bc,gdp_bc,gini_bc,innov_bc,mob_bc,prog_bc,score,rank
Denmark,1.772307281995571,0.5037293413362683,1.032389002775035,-1.1044468837013255,1.3514229137569422,1.9096780826285502,1.4117681606090282,6.87684789940007,3
Ecuador,-0.06710866366994184,-1.4497337334793672,-1.055517467603799,0.9581896304442264,-1.5869247088651701,-0.8229420048124964,-0.6637810352397672,-4.687817983226315,53
Egypt,-1.0613288197677249,-0.8312073928361198,-0.778296145048397,-0.3993290790900071,-1.1750358256685784,-1.3866807106144348,-1.8200972612155235,-7.451975234240785,58
El Salvador,-0.8462094764789508,-0.6532517465018293,-1.4631226008550902,1.732081352830112,-1.4620029220674342,-1.2362190462161868,-1.3431500483460705,-5.27187448763545,56
Estonia,2.665309477032024,0.3218552733160139,0.5369759540720584,0.4243339330341594,1.0306358699987972,0.7443009555846763,0.8849964753272648,6.608407938364994,4
Finland,-0.784241325720259,1.2106671618682918,0.8584410532053615,-1.0275517540631425,1.501672914437383,1.7401685502267097,1.4019126407543985,4.901069240708743,9
France,-1.2770596894072166,0.9222688166016736,0.790674347012461,-0.33847592523240827,1.2389639347952939,1.0459663207091063,0.8744461969177407,3.2567840013966505,13
Georgia,0.8796221714612704,-0.8132692922069982,-0.36555275385848673,0.3492943783484286,-0.5973899108303903,-0.7061053863794281,-0.39713154723548655,-1.6505323407010908,41
Germany,-0.3223229761826184,2.1666625591353292,0.9268383611738493,-1.015222698986439,1.4170118425542892,1.2509192304636938,1.189710340242353,5.613596658400457,7
Greece,-1.7188294754777165,-0.6727779909687934,0.32611483487261805,-0.19261379702008632,-0.13370076295812727,-0.40189831506578294,0.4581086023171233,-2.335596904300765,44
Honduras,0.5005426658636066,-1.2885648875790938,-2.54569504297012,0.4283824845351924,-1.8462844983586544,-1.4587295639821785,-1.620968711175502,-7.83131755366675,59
Hungary,-0.6011053623172649,1.3943605441245217,0.46017504777570994,-0.4794883669854062,0.12562311983970495,0.07109206064384631,-0.004417229194509057,0.9662398138866027,29
India,-0.807400085518897,-0.21178910007681756,-1.850634588758902,-0.7223326694744464,0.027454787934665846,-1.5020129335761565,-1.701920373103373,-6.768634962573927,57
Indonesia,0.843282550619476,-0.758333944980252,-1.0828564997356447,-1.388497477074696,-0.580897035510583,-1.1209002494876126,-1.1423916746876805,-5.230594330856993,55
Ireland,0.7119538107603536,0.9066904146543826,1.5189111897159624,0.40971404681352386,0.8731840668894931,0.8841062533560475,1.0660380951485215,6.370597877338285,5
Israel,-0.4326039059994441,0.6637883218855414,0.6383086376417406,-0.574157893236359,1.0577620145714852,0.26438577554994397,0.5403941029804793,2.1578770533933875,20
Italy,-1.5447815924943193,1.0326254622136875,0.746105976041282,-0.8823787046869312,0.5430642347849614,0.2048543522816492,0.7765086016416288,0.8759983297819582,30
Kazakhstan,2.462844277021486,-1.2384863261853887,0.268243356529517,1.240917611838209,-0.9970676071964355,-0.01087763433137306,-0.7163255077339828,1.0092481699420317,28
Latvia,0.5842232307058353,-0.018211489142054244,0.3651091821397104,0.3273163563368893,-0.11821015308492144,0.3418299061089485,0.46035333531813166,1.9424103683825393,24
Lithuania,1.0819984949669395,0.18732365122893993,0.6040836918914512,-0.8233458952662082,0.1630701044715799,0.47316277750320185,0.6017295730863242,2.2880223978822283,18
